step	time	T	Ekin	lj	bond_123	angle_250	dihedral_190	lj-14_0	lj-14_1
230000	230	3.51856	39583.8	-37435.7	14147.4	16977.5	77085.4	395.365	17839.5
231000	231	3.49384	39305.7	-37173.5	14129.2	17064.5	76917.7	388.724	18151.5
232000	232	3.48709	39229.8	-37323.3	14130.1	17496.5	77440.9	397.258	17656
233000	233	3.51779	39575.1	-37156.4	14154.6	17600.8	76748.8	494.824	17666.3
234000	234	3.56351	40089.5	-37310.4	13996	17602.3	76841.7	460.692	17996.8
235000	235	3.51496	39543.3	-37005	14307.1	17564.5	77080.6	439.521	17904.9
236000	236	3.55538	39998	-37230.2	14107.8	17679.6	77196.2	447.833	17784.4
237000	237	3.49831	39356	-37644.6	14041.7	17271.8	77464.8	358.88	17779.8
238000	238	3.44938	38805.5	-37161	14185.5	17777.6	76613.6	350.626	18285.3
239000	239	3.51428	39535.7	-37367.2	14125.6	17718.8	76938.3	462.009	17668
240000	240	3.51786	39575.9	-37128.8	14476.4	17752	77016.5	444.729	18009.6
241000	241	3.48449	39200.6	-37137.2	13916.8	17651	77012.2	444.424	17756.3
242000	242	3.51421	39534.8	-37273	13995.5	17474	77796.5	425.746	17374.9
243000	243	3.53519	39770.9	-37204.8	14058.3	17556.8	77149.4	318.183	17794.6
244000	244	3.50535	39435.2	-37380	14170.1	17238.8	76940.8	405.209	17890
245000	245	3.46086	38934.7	-37446.8	14199.4	17702.9	76549	384.819	17869.8
246000	246	3.59034	40391.3	-37555.8	13670.3	17917.9	77163.1	456.993	17562.6
247000	247	3.51286	39519.6	-37333.3	14422.9	17752.4	77254.8	392.731	17792.6
248000	248	3.50152	39392.1	-37181.3	14319.9	17358.7	76990.2	416.477	17716
249000	249	3.51976	39597.4	-37484.4	14167.9	16906.8	77012.3	518.404	18034.8
250000	250	3.50767	39461.3	-37343.9	14422.7	17624.1	77105.8	421.78	17831.5
251000	251	3.53174	39732	-37489.6	14174	17463.2	76834.7	472.189	17814.1
252000	252	3.48204	39172.9	-37286.7	14477.6	16878.1	77106.2	425.215	18145.7
253000	253	3.51623	39557.6	-37398.9	14473.2	17758.4	76782.3	424.445	17859.8
254000	254	3.55287	39969.8	-37327.7	14304.6	17326	77631.4	395.597	17724.1
255000	255	3.43074	38595.8	-37364.6	13855.3	17308.9	77287.4	372.237	18027.9
256000	256	3.5229	39632.6	-37272.1	13937.4	17494.2	76731.2	431.107	17841.2
257000	257	3.49406	39308.2	-37413.9	14171.9	17226.8	77417.8	403.378	17754.1
258000	258	3.52417	39646.9	-37233.5	13831.3	17346.1	77305.1	403.28	17675
259000	259	3.47488	39092.4	-37378.9	14001.7	16949	77175.2	390.134	17658.1
260000	260	3.50541	39435.8	-37046.1	14172.7	17322.7	77505.4	410.861	17787
261000	261	3.46105	38936.9	-37496.1	14154.6	17782.1	77381.4	409.139	17456
262000	262	3.5648	40104	-37283.4	14364.9	17452.5	77583.8	492.668	17460.3
263000	263	3.53313	39747.8	-37175.3	14319.6	17606.7	78134.9	392.957	17364.7
264000	264	3.56451	40100.8	-37258.8	14361.4	17678.2	77738.8	381.211	17248.7
265000	265	3.47101	39048.9	-37448	14410.6	17202	77954.7	411.759	17395.7
266000	266	3.4824	39177	-37422.1	13767.7	17504.7	77771.9	411.085	17425.2
267000	267	3.47536	39097.8	-37372	13756.6	17250.2	77688	490.947	17732.9
268000	268	3.50369	39416.5	-37307.6	14394.2	17575.5	77552.7	429.12	17683.6
269000	269	3.50352	39414.6	-36999.9	14112.1	17074.6	77809.1	360.696	17651.4
270000	270	3.5205	39605.6	-37560.6	14110.2	18158.6	77427.7	407.558	17274.2
271000	271	3.50966	39483.7	-37439.5	13970.7	17180.8	77943.8	463.386	17380.5
272000	272	3.5507	39945.4	-37302.6	14193.2	17489.9	77358.8	386.984	17498.3
273000	273	3.57379	40205.1	-37381.9	13818.3	17362.6	77865.9	417.69	17460.6
274000	274	3.51928	39591.8	-37442.7	14544.5	17518.1	77582.9	362.899	17448.6
275000	275	3.53533	39772.4	-37192.8	13917.4	17331.8	77869.1	450.517	17326
276000	276	3.51259	39516.6	-37333.5	13665.1	17607.3	77621.7	378.705	17460.1
277000	277	3.47014	39039.1	-37279.6	14442.7	17201.9	77741.6	389.453	17192.8
278000	278	3.52475	39653.5	-37343.2	14368	17279	77550.8	344.367	17419.9
279000	279	3.54412	39871.3	-37233.9	14066.3	17887.5	77519.9	406.146	17241.9
280000	280	3.5363	39783.4	-37191.4	14173.7	17497.5	77730.1	446.561	17677.4
281000	281	3.51063	39494.6	-37433.4	13824.3	17518	77439.5	396.329	17713.8
282000	282	3.5365	39785.6	-37124	14271.9	17195.4	77520.6	393.631	17356
283000	283	3.5514	39953.2	-37313.5	13954.7	17434.4	78028.4	398.167	17369.3
284000	284	3.46859	39021.6	-37413.6	13889.4	17495.8	78320.3	360.306	17101.8
285000	285	3.46115	38938	-37244.2	14112.7	17045.5	78099.2	403.512	17558.7
286000	286	3.53561	39775.7	-37225.7	14125.4	16986.4	78568.6	392.787	17339.7
287000	287	3.56488	40104.9	-37292.4	13966	16905	77762.9	430.328	17625.7
288000	288	3.55419	39984.7	-37022.1	14037.1	17588.2	77311.5	387.91	17682.3
289000	289	3.54474	39878.4	-37194	14154.5	17030.7	77586.3	415.428	17832
290000	290	3.50522	39433.7	-37181.7	14537.3	17299.9	77859.5	410.734	17397.8
291000	291	3.53777	39799.9	-37048.2	14420.6	17617.5	77186.5	394.254	17779
292000	292	3.4704	39042	-37379.9	14479.3	17272.5	77342	489.482	17365.9
293000	293	3.45274	38843.3	-37355	14058.3	17102.1	77475.4	456.664	17639.3
294000	294	3.48363	39190.8	-37405.7	13899.8	17453.7	77123.3	411.707	17895.4
295000	295	3.51757	39572.7	-37324.4	14509.5	17283.2	76932.9	494.898	17521.8
296000	296	3.54649	39898.1	-37454.2	14437	17005.9	77584.7	378.215	17791.5
297000	297	3.50037	39379.2	-37387.7	14033.2	17531.5	77407.5	383.396	17960.8
298000	298	3.47681	39114.1	-37216.1	14035.7	17084.9	77618.8	451.802	17624.7
299000	299	3.53538	39773	-37489.2	14032.4	17920.3	77540.1	424.865	17645.3
300000	300	3.4751	39094.9	-37243.4	14154.7	17533.4	77542.8	360.21	17515.4
301000	301	3.46604	38993	-37334.4	14258.2	17475	77274.9	421.447	17577.4
302000	302	3.54984	39935.7	-37279.4	14086.8	17482.3	77403.2	359.512	17695.8
303000	303	3.52202	39622.8	-37448.1	14094	17349.7	77418.1	379.852	17608.6
304000	304	3.55014	39939	-37309.4	13999.8	17645.3	77554.5	375.147	17368.2
305000	305	3.51886	39587.2	-37313.9	14004.8	16812.2	77480	430.317	17392.5
306000	306	3.51056	39493.8	-37301	14138.5	17047	76949.2	468.497	17910.4
307000	307	3.54644	39897.4	-37273.4	14179.1	17545.4	76926.1	426.743	17735.3
308000	308	3.47911	39139.9	-37473	14153.1	17331.1	76961.4	456.672	18060.5
309000	309	3.50398	39419.7	-37237.4	13931.8	17748.8	76530.3	463.521	18139.4
310000	310	3.54533	39884.9	-37212.4	14104.1	17314.7	77237.7	453.935	17993.1
311000	311	3.44663	38774.6	-37298.5	14295.2	17652.4	77640.3	375.862	17582.9
312000	312	3.53827	39805.5	-37394.4	14287.8	17346.2	77559	450.871	18103.5
313000	313	3.47783	39125.6	-37071.7	13919.4	17330.2	77797.1	401.216	17204.7
